Timestamp,Which machine library do you use the most?,Which areas or modality of machine learning / science does your team work on?,Which use-cases does your team use machine learning for?,"How long does it take your team to productionise a model (including data ingestion, etc)? ",Which cloud platform do you use the most?,Select the top 3 biggest challenges that you face when productionising your machine learning models,"For Model Registry and/or Experiment tracking, what tool do you use the most? Skip this question if you don't use any.","For Feature Store, what tool do you use the most? Skip this question if you don't use any.","For Vector Database, what tool do you use the most? Skip this question if you don't use any.","For ETL / Workflow Orchestrator, what tool do you use the most? Skip this question if you don't use any.","For Model Training and Experimentation Platform, what tool do you use the most? Skip this question if you don't use any.","For Real Time Model Serving, what tool do you use the most? Skip this question if you don't use any.","For Model Monitoring, what tool do you use the most? Skip this question if you don't use any.","For Central Data Platform / Data Lake, what tool do you use the most? Skip this question if you don't use any.","For Managed Foundation Model / LLM Api Services, what tool do you use the most? Skip this question if you don't use any.",Which industry are you in?,How large is your organisation?,How models does your organisation have in production? This can be a guesstimate and doesn't have to be an accurate number.,"In 12 months from today, how many models does your organisation plan to have in production by then? This can be a guesstimate and doesn't have to be an accurate number.",Select which of the following your organisation has set up:,What approximate percentage of your models run real-time INFERENCE instead of batch?,"When productionising a machine learning model, does your infrastructure enable any of the following deployment methods?","What is the ""job family"" of your role?",How would you describe your role?,What is your age?,What is your country of residence?,How do you self identify?,Name of your company / employer,Score,Email Address
01/09/2025 10:42:34,JAX,Physics-informed ML,Simulations,,Azure,"Gaps in tooling and support for model productionisation, Governance and domain risks, Lack of data",Custom Built In-house tool,,,GitHub actions,Azure ML Studio,Tesseract Core,,,,Engineering design,10-50 employees,,,Central Machine Learning Platform / Team,,CI/CD for continuous deployment,Machine Learning Engineer,Individual Contributor (Staff+),35-39,UK,Male,,,
01/09/2025 15:54:23,Sklearn,"LLMs, Recommender Systems, Search, Tabular, Time Series / Forecasting, Simulations","Demand Forecasting, Search, Recommender systems",Less than a year,Azure,"Governance and domain risks, incorporating the Machine Learning Model in the right place in the business process",MLFlow,,Azure AI,Airflow,Databricks,FastAPI/Flask Wrapper,Custom Built In-house tool,Deltalake,Azure AI,Aerospace & defense,"1,000-5,000 employees",10-20,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 10% and 30%,"CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Junior to Senior),30-34,the Netherlands,Male,Royal Schiphol Group,,
01/09/2025 20:21:47,XGBoost,"Recommender Systems, Text / NLP (Non-LLM)","Marketing Intelligence, Fraud, Risk",More than a year,Google Cloud Platform,"Inconsistency of training and experimentation environments, Showcasing business impact and business value, Machine learning monitoring and observability",MLFlow,Custom Built In-house tool,Custom Built In-house tool,Airflow,Amazon SageMaker,Sagemaker,AWS Clarify,GCP / BigLake,Google Gemini,Telecommunications,"5,000-50,000 employees",21-100,,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 10% and 30%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Junior to Senior),30-34,Netherlands,Male,,,
01/09/2025 22:15:29,TensorFlow,"Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Risk, Pricing",Less than 6 months,,"Gaps in tooling and support for model productionisation, Lack of specialised data scientists, Building production-grade machine learning and data pipelines",MLFlow,,,Oozie,Cloudera ,,,Cloudera/HDFS/Hive,,Utilities,"1,000-5,000 employees",2-5,2-5,"Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,Development-Staging-Production Environments,Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,USA,Male,,,
02/09/2025 04:59:57,PyTorch/Lightning/Fast.ai,"LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems, Risk, Pricing",Less than 3 months,Amazon Web Services,"Inconsistency of training and experimentation environments, Access to relevant data for training, Machine learning monitoring and observability",Weights & Biases,Hopsworks,Pinecone,Airflow,Amazon SageMaker,FastAPI/Flask Wrapper,Arize AI,Snowflake,OpenAI,Food,Less than 10 employees,2-5,2-5,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Less than 10%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment",Machine Learning Engineer,Individual Contributor (Junior to Senior),22-24,india,Male,,,
02/09/2025 19:17:45,Sklearn,"Causal Inference, LLMs, Recommender Systems, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems, Fraud",Less than 6 months,Google Cloud Platform,"Access to relevant data for training, Machine learning monitoring and observability, Governance and domain risks",Custom Built In-house tool,Custom Built In-house tool,Turbopuffer,Custom Built In-house tool,Google Cloud Vertex AI,Custom Built In-house tool,Arize AI,GCP / BigLake,Fuel iX ,Technology,"50,000+ employees",100-1000,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",,Individual Contributor (Junior to Senior),30-34,Canada,Male,,,
05/09/2025 00:23:13,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs",AI Products,Less than a week,Google Cloud Platform,,Custom Built In-house tool,,,Flyte,,Custom Built In-house tool,Custom Built In-house tool,,,Technology,50-250 employees,,,Central Machine Learning Platform / Team,,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Staff+),30-34,Germany,Male,,,
05/09/2025 10:15:43,langgraph,"LLMs, Speech to text","Marketing Intelligence, Customer support",Less than 3 months,Google Cloud Platform,"Showcasing business impact and business value, Machine learning monitoring and observability, Machine learning security",,,,Airflow,,FastAPI/Flask Wrapper,,Custom Built In-house tool,OpenAI,insurtech,50-250 employees,1,2-5,"Central Machine Learning Platform / Team, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",More than 90%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Director/VP,30-34,Spain,Male,,,
07/09/2025 15:28:35,XGBoost,"Causal Inference, LLMs, Search, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Fraud, Pricing",Less than 6 months,Amazon Web Services,"Access to relevant data for training, Building production-grade machine learning and data pipelines, Machine learning security",Weights & Biases,FEAST,Custom Built In-house tool,Amazon Glue,Amazon SageMaker,Sagemaker,Neptune AI,Custom Built In-house tool,Amazon Bedrock,Automobile ,"1,000-5,000 employees",2-5,21-100,"A Developer Productivity Team which also covers machine learning, AI Inventory (Keeping track of all AI usecases and models)",Between 50% and 90%,"Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),22-24,India,Male,,,
07/09/2025 17:22:07,PyTorch/Lightning/Fast.ai,Recommender Systems,Risk,Less than a week,Azure,"Lack of specialised data scientists, Building production-grade machine learning and data pipelines, Machine learning security",Spreadsheets,Custom Built In-house tool,Pinecone,Celery,Custom Built In-house tool,Custom Built In-house tool,Arize AI,AWS / Lakeformation,Google Gemini,Aerospace & defense,10-50 employees,5-9,10-20,A Developer Productivity Team which also covers machine learning,Between 10% and 30%,Progressive Rollouts,Business / Domain Practitioner,Director/VP,35-39,India,Male,,,
07/09/2025 17:43:16,Sklearn,LLMs,"Fraud, Risk",Less than a month,Azure,"Access to relevant data for training, Machine learning monitoring and observability, Governance and domain risks",MLFlow,,Elasticsearch,Azure ML Pipelines,Azure ML Studio,Azure managed online endpoints,,,Azure AI,Government,"5,000-50,000 employees",21-100,5-9,AI Risk & Governance Function,More than 90%,Development-Staging-Production Environments,Machine Learning Engineer,Individual Contributor (Staff+),30-34,UK,Male,,,
07/09/2025 18:15:44,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Tabular, Text / NLP (Non-LLM)",AI Products,More than a year,SSPCloud,"Inconsistency of training and experimentation environments, Lack of specialised engineers, Machine learning monitoring and observability",MLFlow,Custom Built In-house tool,,Argo Workflows,,FastAPI/Flask Wrapper,,,,"government, official statistics","1,000-5,000 employees",5-9,10-20,,Less than 10%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Staff+),40-44,france,Male,,,
07/09/2025 19:59:15,XGBoost,"LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Recommender systems, Fraud",Less than a month,Amazon Web Services,"Lack of specialised engineers, Showcasing business impact and business value, Machine learning monitoring and observability",Hopsworks Model Registry,Hopsworks,Hopsworks,Hopsworks,Hopsworks,KServe,NannyML,Deltalake,Google Gemini,Media & Entertainment,"5,000-50,000 employees",21-100,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 10% and 30%,"Canary Deployments, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Staff+),40-44,Ireland,Male,,,
07/09/2025 20:43:18,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Search, Risk, Anomaly detection",Less than 3 months,Amazon Web Services,lack of general engineers,MLFlow,,Milvus,Airflow,MLFlow,KServe,Evidently AI,Custom Built In-house tool,Anthropic,Aerospace & defense,"5,000-50,000 employees",100-1000,1000+,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, AI Risk & Governance Function",Less than 10%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Junior to Senior),40-44,united states,Male,,,
07/09/2025 23:01:15,XGBoost,"LLMs, Tabular, Text / NLP (Non-LLM)","Demand Forecasting, Marketing Intelligence, Pricing",Less than 3 months,Amazon Web Services,"Showcasing business impact and business value, Building production-grade machine learning and data pipelines",,,Azure AI,Dagster,Google Cloud Vertex AI,,,Deltalake,Azure AI,Consulting,"5,000-50,000 employees",10-20,10-20,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,"Canary Deployments, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Director/VP,40-44,Japan,Male,Boston Consulting Group (BCG),,
08/09/2025 07:57:40,Darts,Time Series / Forecasting,Demand Forecasting,Less than a month,IONOS,Access to relevant data for training,Weights & Biases,Custom Built In-house tool,,Airflow,Custom Built In-house tool,Custom Built In-house tool,,,,Retail,10-50 employees,21-100,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,,Software Engineer,C-Suite,30-34,Germany,Male,,,
08/09/2025 08:36:42,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems, Fraud, Risk",Less than a week,Amazon Web Services,"Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",Weights & Biases,,Weaviate,Amazon Glue,Amazon SageMaker,FastAPI/Flask Wrapper,Evidently AI,AWS / Lakeformation,OpenAI,Insurance,"5,000-50,000 employees",5-9,2-5,Data Platform / Data Engineering Organisation,Between 10% and 30%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment",MLOps Engineer,Individual Contributor (Staff+),45-49,"Bangalore, INDIA",Male,,,
08/09/2025 10:13:39,PyTorch/Lightning/Fast.ai,"LLMs, Recommender Systems, Search, Text / NLP (Non-LLM)","Marketing Intelligence, Recommender systems",Less than 3 months,Azure,"Showcasing business impact and business value, Machine learning monitoring and observability, Governance and domain risks",MLFlow,,Elasticsearch,Databricks,Databricks,FastAPI/Flask Wrapper,Custom Built In-house tool,Deltalake,OpenAI,Consultancy,10-50 employees,5-9,10-20,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Less than 10%,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Staff+),45-49,Netherlands,Male,,,
08/09/2025 14:57:40,LightGBM,"LLMs, Tabular, Time Series / Forecasting",Fraud,Less than a month,Amazon Web Services,"Machine learning monitoring and observability, Machine learning security, Governance and domain risks",Custom Built In-house tool,Custom Built In-house tool,,Airflow,Custom Built In-house tool,Triton,,Custom Built In-house tool,Amazon Bedrock,Financial services,"250-1,000 employees",21-100,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",More than 90%,"Canary Deployments, Progressive Rollouts, CI/CD for continuous deployment",Software Engineer,Director/VP,35-39,Portugal,Female,,,
08/09/2025 15:00:33,Sklearn,"LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems",Less than 3 months,Databricks,"Inconsistency of training and experimentation environments, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,,,Databricks,Databricks,Databricks,,Deltalake,OpenAI,Media & Entertainment,"5,000-50,000 employees",5-9,10-20,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Between 10% and 30%,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Staff+),35-39,Canada,Male,,,
08/09/2025 16:25:57,XGBoost,Tabular,AI Products,Less than a month,Amazon Web Services,Machine learning monitoring and observability,MLFlow,Custom Built In-house tool,,,Amazon SageMaker,Seldon Core,,,,Transportation & warehousing,"250-1,000 employees",2-5,5-9,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",More than 90%,CI/CD for continuous deployment,MLOps Engineer,Individual Contributor (Junior to Senior),30-34,France,Female,,,
09/09/2025 07:51:14,spaCy,"Search, Text / NLP (Non-LLM)","Search, Information Extraction",,Azure,,,,LanceDB,,,FastAPI/Flask Wrapper,,,Ollama,Telecommunications,50-250 employees,,,,,CI/CD for continuous deployment,Software Engineer,Individual Contributor (Junior to Senior),30-34,Germany,Male,,,
14/09/2025 12:12:28,Sklearn,"Image / Computer Vision, LLMs, Recommender Systems, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems",Less than a month,Amazon Web Services,"Inconsistency of training and experimentation environments, Access to relevant data for training, Building production-grade machine learning and data pipelines",Data Version Control (DVC),,Pinecone,Airflow,Amazon SageMaker,Sagemaker,,Snowflake,OpenAI,,,,,,,,Software Engineer,Individual Contributor (Junior to Senior),22-24,,Male,,,
14/09/2025 14:33:56,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Search, Recommender systems, Risk, Pricing",Less than a month,Google Cloud Platform,"Inconsistency of training and experimentation environments, Access to relevant data for training, Machine learning security",MLFlow,Fennel,Milvus,Airflow,Amazon SageMaker,BentoML,Neptune AI,Snowflake,Google Gemini,Technology,Less than 10 employees,2-5,5-9,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Between 10% and 30%,"A/B Tests for Models, CI/CD for continuous deployment",Machine Learning Engineer,Individual Contributor (Junior to Senior),35-39,Nigeria,Male,,,
14/09/2025 15:41:17,Sklearn,"LLMs, Recommender Systems, Search, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems",Less than 3 months,Google Cloud Platform,"Gaps in tooling and support for model productionisation, Access to relevant data for training, Showcasing business impact and business value",Data Version Control (DVC),Custom Built In-house tool,Weaviate,Airflow,Google Cloud Vertex AI,FastAPI/Flask Wrapper,Evidently AI,GCP / BigLake,Google Gemini,Consulting,"1,000-5,000 employees",10-20,21-100,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation",Less than 10%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment",Data Scientist,Individual Contributor (Staff+),35-39,Mexico,Male,,,
15/09/2025 10:16:37,PyTorch/Lightning/Fast.ai,Time Series / Forecasting,Embedded Systems,Less than a week,Amazon Web Services,"Inconsistency of training and experimentation environments, Access to relevant data for training, It/ot integration",MLFlow,,,Airflow,Databricks,,Custom Built In-house tool,Deltalake,,Manufacturing ,"1,000-5,000 employees",21-100,100-1000,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Less than 10%,"A/B Tests for Models, CI/CD for continuous deployment",Machine Learning Engineer,Director/VP,40-44,Germany,Male,,,
15/09/2025 10:27:19,TensorFlow,"LLMs, Text / NLP (Non-LLM)","Search, Fraud, Risk",Less than 3 months,Amazon Web Services,"Gaps in tooling and support for model productionisation, Lack of specialised engineers, Building production-grade machine learning and data pipelines",MLFlow,,ElasticSearch,Airflow,Kedro,AWS,Grafana,StarRocks,Amazon Bedrock,Financial services,10-50 employees,2-5,5-9,Data Platform / Data Engineering Organisation,Between 50% and 90%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),35-39,Netherlands,Male,,,
15/09/2025 10:51:39,PyTorch/Lightning/Fast.ai,"Causal Inference, Image / Computer Vision, LLMs","Demand Forecasting, Search",Less than 3 months,Azure,"Lack of specialised engineers, Building production-grade machine learning and data pipelines, Governance and domain risks",MLFlow,,Azure AI,Azure Data Factory,Azure ML Studio,FastAPI/Flask Wrapper,,Azure DataLake,OpenAI,Healthcare,"1,000-5,000 employees",100-1000,10-20,"Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Manager,35-39,India,Male,,,
15/09/2025 12:03:27,Sklearn,"Image / Computer Vision, LLMs",Risk,Less than 3 months,Amazon Web Services,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines",,,,,Custom Built In-house tool,KServe,,,Azure AI,Technology,10-50 employees,10-20,21-100,,Between 50% and 90%,"Canary Deployments, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Manager,,Israel,Male,,,
15/09/2025 17:40:11,TensorFlow,"Causal Inference, Image / Computer Vision, LLMs",Intelligence Video Analytics ,Less than a year,Google Cloud Platform,"Gaps in tooling and support for model productionisation, Access to relevant data for training, Machine learning security",,,,,Custom Built In-house tool,Triton inference server,,Deltalake,OpenAI,Aerospace & defense,10-50 employees,2-5,2-5,A Developer Productivity Team which also covers machine learning,Between 10% and 30%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),35-39,Rwanda ,Male,,,
21/09/2025 12:27:43,Sklearn,"LLMs, Recommender Systems, Search, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Search, Recommender systems",Less than 3 months,Azure,Access to relevant data for training,MLFlow,,Pinecone,,Azure ML Studio,FastAPI/Flask Wrapper,Evidently AI,Snowflake,Azure AI,Energy,"5,000-50,000 employees",21-100,5-9,Central Machine Learning Platform / Team,Between 50% and 90%,CI/CD for continuous deployment,Machine Learning Engineer,Individual Contributor (Staff+),40-44,Danmark,Male,,,
21/09/2025 15:12:10,Sklearn,"Causal Inference, LLMs",Risk,Less than 3 months,Azure,"Lack of specialised data scientists, Showcasing business impact and business value",MLFlow,Custom Built In-house tool,Azure AI,Airflow,Databricks,Databricks,Evidently AI,Azure DataLake,OpenAI,Financial services,"5,000-50,000 employees",2-5,2-5,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",More than 90%,"Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Junior to Senior),25-29,germany,Male,,,
22/09/2025 08:59:46,Sklearn,"LLMs, Time Series / Forecasting","Pricing, Information Extraction",Less than 6 months,Azure,"Showcasing business impact and business value, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,,Milvus,Airflow,Azure ML Studio,FastAPI/Flask Wrapper,Neptune AI,Deltalake,OpenAI,Healthcare,"50,000+ employees",10-20,10-20,"Central Machine Learning Platform / Team, AI Inventory (Keeping track of all AI usecases and models)",Less than 10%,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),35-39,germany,Male,,,
